Datum,Zeit,Puls,Datenquelle
2026.01.31 21:48:00,21:48:00,72,
2026.01.31 21:48:00,21:48:00,80,
2026.01.31 21:48:00,21:48:00,74,
2026.01.31 21:50:10,21:50:10,100,
2026.01.31 21:53:27,21:53:27,70,
2026.01.31 21:58:00,21:58:00,78,
2026.01.31 21:58:00,21:58:00,77,
2026.01.31 22:00:01,22:00:01,73,
2026.01.31 22:10:02,22:10:02,70,
2026.01.31 22:20:02,22:20:02,66,
2026.01.31 22:30:01,22:30:01,68,
2026.01.31 22:40:00,22:40:00,71,
2026.01.31 22:50:01,22:50:01,106,
2026.01.31 23:00:01,23:00:01,63,
2026.01.31 23:10:02,23:10:02,60,
2026.01.31 23:20:01,23:20:01,64,
2026.01.31 23:30:02,23:30:02,62,
2026.01.31 23:40:00,23:40:00,66,
2026.01.31 23:50:01,23:50:01,68,
