Datum,Zeit,Durée en secondes,Schlafstadium
2026.02.24 23:13:15,23:13:15,2100,light
2026.02.24 23:48:15,23:48:15,600,deep
2026.02.24 23:58:15,23:58:15,180,light
2026.02.25 00:01:15,00:01:15,240,deep
2026.02.25 00:05:15,00:05:15,960,light
2026.02.25 00:21:15,00:21:15,60,awake
2026.02.25 00:22:15,00:22:15,300,light
2026.02.25 00:27:15,00:27:15,1380,rem
2026.02.25 00:50:15,00:50:15,180,light
2026.02.25 00:53:15,00:53:15,240,awake
2026.02.25 00:57:15,00:57:15,1140,light
2026.02.25 01:16:15,01:16:15,540,deep
2026.02.25 01:25:15,01:25:15,60,awake
2026.02.25 01:26:15,01:26:15,480,light
2026.02.25 01:34:15,01:34:15,60,awake
2026.02.25 01:35:15,01:35:15,1140,light
2026.02.25 01:54:15,01:54:15,60,awake
2026.02.25 01:55:15,01:55:15,720,light
2026.02.25 02:07:15,02:07:15,60,awake
2026.02.25 02:08:15,02:08:15,720,light
2026.02.25 02:20:15,02:20:15,120,awake
2026.02.25 02:22:15,02:22:15,960,light
2026.02.25 02:38:15,02:38:15,60,awake
2026.02.25 02:39:15,02:39:15,300,light
2026.02.25 02:44:15,02:44:15,60,awake
2026.02.25 02:45:15,02:45:15,300,light
2026.02.25 02:50:15,02:50:15,120,awake
2026.02.25 02:52:15,02:52:15,720,light
2026.02.25 03:04:15,03:04:15,60,awake
2026.02.25 03:05:15,03:05:15,900,light
2026.02.25 03:20:15,03:20:15,60,awake
2026.02.25 03:21:15,03:21:15,900,light
2026.02.25 03:36:15,03:36:15,60,awake
2026.02.25 03:37:15,03:37:15,3240,light
2026.02.25 04:31:15,04:31:15,60,awake
2026.02.25 04:32:15,04:32:15,240,light
2026.02.25 04:36:15,04:36:15,60,awake
2026.02.25 04:37:15,04:37:15,240,light
2026.02.25 04:41:15,04:41:15,60,awake
2026.02.25 04:42:15,04:42:15,240,light
2026.02.25 04:46:15,04:46:15,60,awake
2026.02.25 04:47:15,04:47:15,60,light
2026.02.25 04:48:15,04:48:15,60,awake
2026.02.25 04:49:15,04:49:15,360,light
2026.02.25 04:55:15,04:55:15,60,awake
2026.02.25 04:56:15,04:56:15,300,light
2026.02.25 05:01:15,05:01:15,60,awake
2026.02.25 05:02:15,05:02:15,600,light
2026.02.25 05:12:15,05:12:15,120,rem
2026.02.25 05:14:15,05:14:15,120,awake
2026.02.25 05:16:15,05:16:15,660,light
2026.02.25 05:27:15,05:27:15,120,awake
2026.02.25 05:29:15,05:29:15,60,light
2026.02.25 05:30:15,05:30:15,300,awake
2026.02.25 05:35:15,05:35:15,60,light
2026.02.25 05:36:15,05:36:15,2040,awake
2026.02.25 06:10:15,06:10:15,180,light
2026.02.25 06:13:15,06:13:15,540,awake
2026.02.25 06:22:15,06:22:15,240,light
2026.02.25 06:26:15,06:26:15,60,awake
2026.02.25 06:27:15,06:27:15,300,light
2026.02.25 06:32:15,06:32:15,60,awake
2026.02.25 06:33:15,06:33:15,660,light
2026.02.25 06:44:15,06:44:15,180,awake
2026.02.25 06:47:15,06:47:15,1920,light
2026.02.25 07:19:15,07:19:15,60,awake
2026.02.25 07:20:15,07:20:15,720,light
2026.02.25 07:32:15,07:32:15,60,rem
2026.02.25 07:33:15,07:33:15,180,light
2026.02.25 07:36:15,07:36:15,180,rem
2026.02.25 07:39:15,07:39:15,60,light
2026.02.25 07:40:15,07:40:15,360,rem
2026.02.25 07:46:15,07:46:15,60,light
2026.02.25 07:47:15,07:47:15,300,rem
2026.02.25 07:52:15,07:52:15,60,awake
2026.02.25 07:53:15,07:53:15,180,light
2026.02.25 07:56:15,07:56:15,240,awake
2026.02.25 08:00:15,08:00:15,1080,light
2026.02.25 08:18:15,08:18:15,60,awake
2026.02.25 08:19:15,08:19:15,480,light
2026.02.25 08:27:15,08:27:15,60,awake
2026.02.25 08:28:15,08:28:15,360,light
2026.02.25 08:34:15,08:34:15,60,awake
2026.02.25 08:35:15,08:35:15,660,light
2026.02.25 08:46:15,08:46:15,180,awake
2026.02.25 08:49:15,08:49:15,180,light
2026.02.25 08:52:15,08:52:15,60,awake
2026.02.25 08:53:15,08:53:15,420,light
2026.02.25 09:00:15,09:00:15,60,rem
2026.02.25 09:01:15,09:01:15,60,awake
2026.02.25 09:02:15,09:02:15,60,rem
2026.02.25 09:03:15,09:03:15,60,awake
2026.02.25 09:04:15,09:04:15,240,rem
2026.02.25 09:08:15,09:08:15,120,awake
