Datum,Zeit,Durée en secondes,Schlafstadium
2026.02.17 00:09:33,00:09:33,2760,light
2026.02.17 00:55:33,00:55:33,780,deep
2026.02.17 01:08:33,01:08:33,360,light
2026.02.17 01:14:33,01:14:33,60,awake
2026.02.17 01:15:33,01:15:33,300,light
2026.02.17 01:20:33,01:20:33,60,awake
2026.02.17 01:21:33,01:21:33,480,light
2026.02.17 01:29:33,01:29:33,60,rem
2026.02.17 01:30:33,01:30:33,840,light
2026.02.17 01:44:33,01:44:33,120,deep
2026.02.17 01:46:33,01:46:33,180,light
2026.02.17 01:49:33,01:49:33,120,awake
2026.02.17 01:51:33,01:51:33,1080,light
2026.02.17 02:09:33,02:09:33,60,awake
2026.02.17 02:10:33,02:10:33,1800,light
2026.02.17 02:40:33,02:40:33,60,awake
2026.02.17 02:41:33,02:41:33,360,light
2026.02.17 02:47:33,02:47:33,60,awake
2026.02.17 02:48:33,02:48:33,480,light
2026.02.17 02:56:33,02:56:33,60,awake
2026.02.17 02:57:33,02:57:33,180,light
2026.02.17 03:00:33,03:00:33,420,awake
2026.02.17 03:07:33,03:07:33,720,light
2026.02.17 03:19:33,03:19:33,60,awake
2026.02.17 03:20:33,03:20:33,600,light
2026.02.17 03:30:33,03:30:33,60,awake
2026.02.17 03:31:33,03:31:33,1200,light
2026.02.17 03:51:33,03:51:33,60,awake
2026.02.17 03:52:33,03:52:33,1440,light
2026.02.17 04:16:33,04:16:33,300,rem
2026.02.17 04:21:33,04:21:33,60,awake
2026.02.17 04:22:33,04:22:33,360,light
2026.02.17 04:28:33,04:28:33,120,rem
2026.02.17 04:30:33,04:30:33,60,awake
2026.02.17 04:31:33,04:31:33,540,light
2026.02.17 04:40:33,04:40:33,60,rem
2026.02.17 04:41:33,04:41:33,1380,light
2026.02.17 05:04:33,05:04:33,120,awake
2026.02.17 05:06:33,05:06:33,180,light
2026.02.17 05:09:33,05:09:33,120,awake
2026.02.17 05:11:33,05:11:33,1080,light
2026.02.17 07:22:58,07:22:58,1200,light
2026.02.17 07:42:58,07:42:58,1020,deep
2026.02.17 23:25:27,23:25:27,3420,light
2026.02.18 00:22:27,00:22:27,60,awake
2026.02.18 00:23:27,00:23:27,1020,light
2026.02.18 00:40:27,00:40:27,60,awake
2026.02.18 00:41:27,00:41:27,1980,light
2026.02.18 01:14:27,01:14:27,60,awake
2026.02.18 01:15:27,01:15:27,1200,light
2026.02.18 01:35:27,01:35:27,60,awake
2026.02.18 01:36:27,01:36:27,60,light
2026.02.18 01:37:27,01:37:27,60,awake
